Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202000032781,3,9,2020,23:05,5,033,33063,2,7,1,7,PLACE RAVEZIES / ALL DE BOUTAUT,44.86623,-0.57573,4,PLACE RAVEZIES,0,,1,3,0,1,(1),(1),1,, -1,1,5,6,50
202000032782,3,9,2020,19:25,1,033,33318,2,3,1,3,AVE JEAN JAURES / RUE HERMAN LEMOINE,44.806211,-0.6306097,4,AVE JEAN JAURES,0,,2,2,0,2,(1),(1),1,, -1,1,0,1,50
202000032783,3,9,2020,17:30,2,033,33063,2,4,1,3,RUE DELBOS / RUE DES ETRANGERS / CRS DUPRE-DE-SAINT-MAUR / QUAI HUBERT PROM,44.867911,-0.554885,4,RUE DES ETRANGERS,0,,2,2,0,1,(1),(1),2,, -1,1,0,1,50
202000032784,3,9,2020,12:45,1,033,33192,2,2,1,3,RUE DES CAMELIAS / RUE DES LANGES / RUE DES COLIBRIS,44.7828,-0.61,4,RUE DES CAMELIAS,0,,2,2,0,1,(1),(1),3,, -1,1,0,1,30
202000032785,31,8,2020,15:50,1,033,33063,2,2,1,6,RUE DE SAGET / CRS DE LA MARNE,44.82748,-0.558,4,SAGET (RUE DE),0,,1,3,1,1,(1),(1),1,, -1,1,0,1,50
202000032899,3,9,2020,11:16,1,033,33214,1,1,1,3,D6e1,45.02505,-1.17517,3,6E1,-1,E,2,2,0,1,2,400,2,, -1,1,0,1,80
202000032949,30,10,2020,17:25,1,033,33243,2,1,1,6,43 Avenue Georges ClÃ©menceau,44.919877,-0.240282,4,Avenue Georges Clemenceau,-1,,2,2,0,1,(1),(1),1,, -1,1,9,3,50
202000032950,31,10,2020,11:20,1,033,33293,2,1,1,1,3 Route de SorbÃ¨de,44.88102,-0.41198,4,Route de Sorbède,-1,,2,2,0,1,(1),(1),1,, -1,1,0,1,30
202000033031,29,10,2020,12:50,1,033,33281,2,3,1,2,AVE DU MARECHAL GALLIENI,44.83714,-0.61655,4,AVE DU MARECHAL GALLIENI,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,30
202000033039,29,10,2020,18:00,1,033,33529,2,2,1,3,MIQUELOTS (BD DES),44.60959,-1.13552,4,MIQUELOTS (BD DES),0,,2,2,0,1,(1),(1),1,, -1,1,9,1,50
202000033203,29,10,2020,06:30,3,033,33284,1,1,1,3,A660,44.624064,-0.85401,1,660,-1,,3,4,-1,2,1,1008,1,, -1,1,0,1,130
202000033224,29,5,2020,20:45,2,033,33300,1,1,1,7,RD101 _ Route des Lacs,45.26754,-1.08016,3,101,0,,2,2,0,1,30,372,1,,"5,5",1,0,1,-1
202000033226,3,6,2020,07:20,1,033,33501,2,3,1,1,Avenue Charles de Gaulle,44.65019,-0.59617,3,651,-1,,2,2,0,2,16,155,1,, -1,1,0,1,50
202000033370,1,8,2020,12:45,1,033,33394,2,1,1,2,Lieu Dit le Chatelet Sud,44.8973131,-0.1586055,3,243,0,,2,2,0,1,6,920,1,, -1,1,0,1,50
202000033506,6,8,2020,12:40,1,033,33324,1,1,7,2,3 Rue du Lac,44.83629,0.23624,3,936,-1,,2,2,0,2,51,170,1,, -1,1,0,1,80
202000033529,1,6,2020,20:05,1,033,33281,1,1,1,5,ROCADE A 630,44.85269,-0.66587,1,630,0,,3,3,0,1,14,633,1,,14,1,0,1,90
202000033530,1,6,2020,15:15,1,033,33080,1,1,1,6,AUTOROUTE A 62,44.75882,-0.54614,1,62,0,,3,2,0,1,1,649,1,,10,1,0,1,130
202000033600,30,5,2020,20:00,1,033,33075,1,3,1,7,ALL DE LA RESERVE / ROCADE A630 -E5-,44.89018,-0.60084,1,A630,0,,1,2,0,1,7,950,1,,10,1,3,8,50
