Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500003160,5,1,6,1144,1,2,2,1,2,63.0,TIVOLI (RUE DE),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,72,1,0,1,0
200500003161,5,1,7,2125,5,2,1,1,3,318.0,MAGONTY (AVE DE),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,63,1,0,1,0
200500003162,5,1,11,1455,1,2,3,1,6,63.0,HUGO (CRS VICTOR),,,,330,4.0,0.0,0.0,,1,1,,,0,1,1,0,50,1,0,1,0
200500003163,5,1,7,915,1,2,2,5,6,522.0,GAMBETTA (CRS ),,,,330,4.0,0.0,0.0,,3,1,,,3,1,1,66,30,1,3,0,0
200500003164,5,1,7,1720,1,2,3,1,1,192.0,MARTINON (RUE DE) (1-33),,,,330,4.0,0.0,0.0,,2,2,,,0,1,3,0,70,1,0,1,99
200500003165,5,1,8,1820,3,2,1,1,6,281.0,LECLERC (AVE DU MARECHAL,,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,73,1,0,1,0
200500003166,5,1,8,1945,5,2,5,1,1,522.0,PEYDAVANT (RUE ),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,98,1,0,1,99
200500003167,5,1,8,2115,5,2,2,1,1,281.0,FRANCE (AVE PIERRE MENDE,,,,330,4.0,0.0,0.0,,2,3,,,0,1,1,0,89,1,0,1,0
200500003168,5,1,12,750,2,2,3,1,2,63.0,"51, GAUTIER (BD ANTOINE)",,,,330,4.0,0.0,0.0,,3,4,,,1,1,1,0,0,1,0,1,0
200500003169,5,1,12,751,2,2,2,1,3,63.0,YSER (CRS DE L),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,64,1,0,1,0
200500003170,5,1,12,1815,5,2,1,2,6,63.0,BRASCASSAT (RUE ),,,,330,4.0,0.0,0.0,,3,1,,,2,1,3,13,109,2,0,1,0
200500003171,5,1,12,2130,5,2,2,1,3,63.0,PITRES (RUE ALBERT),,,,330,4.0,0.0,0.0,,0,0,,,0,1,1,0,48,2,0,1,0
200500003172,5,1,8,1630,1,2,2,1,3,75.0,MARNE (AVE DE LA),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,68,1,0,1,0
200500003173,5,1,9,2025,5,2,2,1,3,69.0,CARNOT (AVE SADI),,,,330,4.0,0.0,0.0,,2,2,,,0,0,1,0,75,1,0,1,0
200500003174,5,1,7,1805,5,2,2,1,3,318.0,ORIENT (AVE DU PONT DE L,,,,330,4.0,0.0,0.0,,2,3,,,0,1,1,0,102,1,0,1,0
200500003175,5,1,10,1550,1,2,1,1,3,75.0,MEDOC (RTE DU),,,,330,4.0,0.0,0.0,,3,2,,,0,1,1,0,66,1,0,1,0
200500003176,5,1,10,1722,1,2,2,1,3,69.0,COURBET (RUE AMIRAL),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,68,1,0,1,0
200500003177,5,1,10,1843,5,2,3,1,1,192.0,CANEJAN (RTE DE),,,,330,4.0,0.0,0.0,,2,3,,,0,1,1,0,84,1,0,1,0
200500003178,5,1,13,820,1,2,2,1,2,63.0,BRUNET (CRS HENRI),,,,330,4.0,0.0,0.0,,0,0,,,0,1,1,0,0,1,0,1,0
200500003179,5,1,13,1700,1,2,1,1,3,63.0,TOURNEMIRE (RUE CHARLES),,,,330,4.0,0.0,0.0,,0,0,,,0,1,2,0,68,1,0,0,0
200500003180,5,1,14,1645,1,2,1,1,1,63.0,MARNE (CRS DE LA),,,,330,4.0,0.0,0.0,,2,4,,,0,1,1,0,114,1,0,1,0
200500003181,5,1,14,1657,1,2,1,1,6,63.0,"131, HUGO (CRS VICTOR)",,,,330,4.0,0.0,0.0,,2,4,,,0,1,1,0,120,1,0,1,0
200500003182,5,1,14,2130,5,2,1,5,3,63.0,LADOUMEGUE (CRS JULES),,,,330,4.0,0.0,0.0,,2,4,,,0,1,1,0,82,1,0,1,0
200500003183,5,1,14,2135,5,2,1,1,6,63.0,STUTTENBERG (CRS BALGUER,,,,330,4.0,0.0,0.0,,1,1,,,1,1,1,0,45,1,0,1,0
200500003184,5,1,15,1425,1,2,3,1,6,63.0,ALBRET (CRS D),,,,330,4.0,0.0,0.0,,3,2,,,0,1,0,20,60,1,0,1,0
200500003185,5,1,15,2220,5,2,1,1,1,63.0,MEYNARD (PCE ),,,,330,4.0,0.0,0.0,,0,0,,,0,1,1,0,0,1,0,1,0
200500003186,5,1,16,2120,5,2,1,1,7,63.0,PIERRE (PONT DE),,,,330,4.0,0.0,0.0,,3,2,,,3,1,1,0,28,1,0,1,0
200500003187,5,1,12,807,2,2,1,1,4,281.0,AIR (AVE BON),,,,330,4.0,0.0,0.0,,2,2,,,1,1,1,0,62,1,0,1,0
200500003188,5,1,17,1425,1,2,2,1,3,69.0,WILSON (BD DU PRESIDENT),,,,330,4.0,0.0,0.0,,3,2,,,1,1,1,0,0,1,0,1,0
200500003189,5,1,7,1215,1,2,4,1,2,249.0,LIBERATION (AVE DE LA),,,,330,4.0,0.0,0.0,,3,2,,,3,1,1,0,0,1,0,0,0
200500003190,5,1,12,750,2,2,1,1,3,119.0,RICARD (BD ANDRE),,,,330,4.0,0.0,0.0,,2,2,,,1,1,1,0,89,1,0,1,0
200500003191,5,1,12,1210,1,2,1,1,3,249.0,LIBERATION (AVE DE LA),,,,330,4.0,0.0,0.0,,2,2,,,0,3,1,0,14,1,0,1,0
200500003192,5,1,12,2013,3,2,2,2,3,550.0,FERRON (AVE DE),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,55,2,0,1,0
200500003193,5,1,13,900,1,2,3,2,3,249.0,COURANT (RUE DU),,,,330,4.0,0.0,0.0,,2,3,,,0,1,1,0,700,2,0,1,0
200500003194,5,1,13,1900,5,2,2,1,1,69.0,TIVOLI (AVE DE),,,,330,4.0,0.0,0.0,,2,4,,,0,1,1,0,102,1,0,1,0
200500003195,5,1,11,829,1,2,1,1,4,281.0,DASSAULT (AVE MARCEL),,,,330,4.0,0.0,0.0,,3,3,,,1,1,1,5,120,1,0,1,0
200500003196,5,1,13,1605,1,2,3,1,3,281.0,MARNE (AVE DE LA),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,87,1,0,1,0
200500003197,5,1,18,830,1,2,3,2,3,63.0,PASTEUR CAUD (RUE ),,,,330,4.0,0.0,0.0,,1,20,,,0,1,1,0,119,2,0,1,0
200500003198,5,1,18,1010,1,2,1,2,2,63.0,"20, GARNIER (RUE FRANCIS",,,,330,4.0,0.0,0.0,,2,1,,,0,1,1,0,76,2,0,1,0
200500003199,5,1,18,1335,1,2,1,1,4,63.0,PIERRE (PONT DE),,,,330,5.0,0.0,0.0,,2,2,,,0,1,2,0,28,1,2,1,99
200500003200,5,1,18,1520,1,2,3,1,6,63.0,PESSAC (RUE DE),,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,93,1,0,1,0
200500003201,5,1,14,1512,1,2,3,1,1,281.0,BROSSOLETTE (RUE PIERRE),,,,330,4.0,0.0,0.0,,1,1,,,0,1,1,0,53,1,0,1,0
200500003202,5,1,14,1630,1,2,9,1,6,550.0,BOURLEAUD (AVE EDOUARD),,,,330,4.0,0.0,0.0,,2,2,,,0,2,1,0,64,1,0,1,0
200500003203,5,1,14,1746,2,2,1,1,2,281.0,ROBINSON (AVE DES FRERES,,,,330,4.0,0.0,0.0,,3,2,,,0,1,1,35,80,1,0,1,0
200500003204,5,1,12,1125,1,2,2,1,3,281.0,FRANCE (AVE PIERRE MENDE,,,,330,4.0,0.0,0.0,,2,3,,,1,1,1,0,88,1,0,1,0
200500003205,5,1,13,755,5,2,1,1,5,192.0,CANEJAN (RTE DE),,,,330,4.0,0.0,0.0,,2,2,,,0,1,0,0,65,0,0,0,0
200500003206,5,1,17,1005,1,2,3,1,5,318.0,MADRAN (AVE DE),,,,330,4.0,0.0,0.0,,3,3,,,1,1,1,0,850,1,0,1,0
200500003207,5,1,18,1110,1,2,1,2,2,63.0,"196, LABARDE (AVE DE)",,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,118,2,0,1,0
