IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z14CT4;761;682;8837;8.0;10.0;5.5;;;;;;Le Bouscat Allée de Boutaut;Sens Entrant;;
Z31CT7;138;724;6488;-21.4;-0.4;1.4;;;;;;Carbon Blanc Griffons avant Pasteur;Sud > Nord;;
Z14CT5;562;548;7208;8.3;-0.1;2.3;;;;;;Bordeaux Allée de Boutaut;Sens Sortant;;
Z32AS;385;708;7317;-5.7;2.2;0.4;352;-3.3;;;;Floirac 35 Av. Gaston Cabannes;Sens Sortant;;
Z15CT13;56;64;1006;0.1;-21.5;-8.6;;;;;;Bordeaux Av. E. Counord après Godard;Sens Sortant;;
Z35AS;343;1003;11285;-3.3;0.7;-2.8;516;-3.0;38;-11.6;;Ambares Av. de la Libération;Sens Sortant;;
Z15CT14;197;206;2945;1.5;5.1;2.2;;;;;;Bordeaux Martinique vers quais;Centre Ville Sortant;;
Z3CT14;252;451;3712;11.3;5.4;10.2;;;;;;Bordeaux Rue Lamourous avant St. Genès.;Sens Sortant;;
Z15CT3;457;438;7330;-2.6;-0.5;1.5;;;;;;Bordeaux Cours Portal avant Doumer;Nord > Sud;;
Z3CT17;132;129;2160;14.8;11.6;20.2;;;;;;Bordeaux 36 Cours de l' Argonne;Sens Entrant;;
Z16AE;445;498;5338;32.4;4.1;1.6;;;;;;Pessac 190 Av. Jean Jaurès;Sens Entrant;;
Z4CT14;337;309;4599;-1.6;-7.8;-4.4;;;;;;Bordeaux Cours de Verdun avant Gourgues;Sud > Nord;;
Z16BE;361;684;6188;8.9;0.9;-3.2;294;-10.4;37;-5.1;;Pessac 9 Av. de Madran;Sens Entrant;;
Z4CT19;268;298;4918;2.0;6.6;8.1;;;;;;Bordeaux Rue N.-Pénard après Michelet;Nord > Sud;;
Z16CT1;548;492;5824;2.1;2.1;0.4;;;;;;Pessac Av. Jean Jaurès;Sens Sortant;;
Z4CT2;417;328;7429;-4.8;-0.6;0.4;;;;;;Bordeaux Allées de Tourny;Place de la Comédie > place Tourny;;
Z16CT14;422;508;5461;1.3;-5.9;-2.0;;;;;;Pessac Rue Chateaubriand aprè Lamartine;Sud > Nord;;
Z4CT23;285;365;5054;0.2;2.2;3.0;;;;;;Bordeaux Cours de Verdun avant Doumer;Sens Sortant;;
Z16CT7;256;357;4001;-11.7;-7.2;-6.8;;;;;;Pessac Av. Jean Jaurès après Chiquet;Sens Entrant;;
Z4CT3;638;578;10152;-2.3;0.1;1.8;;;;;;Bordeaux Cours Clémenceau après Monbadon;Nord > Sud;;
Z16CT8;295;297;3254;20.3;2.6;4.1;;;;;;Pessac Rue Pénard après Echoppes;Sens Sortant;;
Z4CT7;318;275;4624;0.2;0.2;-7.7;;;;;;Bordeaux Cours N. Pénard après Albret;Sud > Nord;;
Z16CT9;185;262;2251;-3.4;0.7;-2.8;;;;;;Pessac Cordier après Cimetière;Sens Sortant;;
Z4CT9;319;292;5947;-15.7;-0.6;7.5;;;;;;Bordeaux 20 Rue Judaïque;Sens Sortant;;
Z17AE;440;451;6108;10.7;0.9;-3.9;289;-6.7;19;-24.0;;Talence Libération Roul Peixotto;Sens Entrant;;
Z5CT10;645;655;10731;-4.9;-10.0;-2.1;;;;;;Bordeaux Rue Saget après Tauzia;de Tauzia > Quais;;
Z17CT1;415;435;5065;-1.3;4.0;1.4;;;;;;Talence Cours Gambetta avant Rue Mirabeau;Sens Sortant;;
