IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z27CT13;270;459;4478;-15,42%;3,07%;-0,30%;;;;;;Pessac Haut Lévèque avant Matisse;Sud > Nord;;
Z27CT15;157;316;2079;3,15%;15,53%;8,80%;;;;;;Pessac Av. de Canéjan;Sens Entrant;;
Z28CT4;439;242;3305;-5,26%;-3,06%;-5,64%;;;;;;St Médard Av. de Gaulle avant Rousseau;Sens Entrant;;
Z28CT5;234;190;2247;1,41%;2,72%;0,86%;;;;;;St Médard Rue Rousseau avant Montesquieu;Sens Entrant;;
Z28CT7;583;634;8380;-5,70%;-3,04%;-2,64%;;;;;;St Médard Av. Montaigne après rue Capsec;Sens Entrant;;
Z28CT9;204;272;2811;1,88%;1,66%;1,81%;;;;;;St Médard 13 Av. La Boétie;Le Taillan => Place de la République;;
Z29CT2;486;468;5533;-12,23%;-1,70%;-2,74%;;;;;;Floirac Monrepos avant Crs Gambetta;Sens Entrant;;
Z29CT5;84;237;1925;-15,54%;-8,46%;-6,27%;;;;;;Bordeaux Rue Galin;Sens Sortant;;
Z29CT6;522;904;8166;-7,09%;-1,31%;-1,54%;;;;;;Cenon Bretelle Curie vers entre 2 mers;Curie > Entre Deux Mers;;
Z29CT15;391;357;4370;14,08%;-3,19%;1,42%;;;;;;Cenon Av. Clémenceau avant 8 mai 45;Sens Sortant;;
Z30CT3;590;996;12053;16,96%;21,66%;9,25%;;;;;;Mérignac Av. Cassin avant Kennedy;Sens Entrant;;
Z30CT7;373;381;4448;-9,30%;0,87%;-5,95%;;;;;;Mérignac Rue de Belfort avant  4 Chemins;Sud > Nord;;
Z30CT11;336;646;7440;5,19%;-1,51%;1,03%;;;;;;Mérignac Av. Somme après Chemin Long;Sens Entrant;;
Z30CT15;108;220;2125;0,01%;-7,76%;-1,49%;;;;;;Mérignac Rte  Pessac;Nord > Sud;;
Z30CT17;473;542;6285;;;-0,13%;;;;;;Mérignac Av. Mendès-France;Sud > Nord;;
Z30CT18;299;538;5821;-11,03%;-1,55%;-4,97%;;;;;;Mérignac Av. du Maréchal Leclerc;Sud > Nord;;
Z30CT19;548;440;6537;6,01%;-5,17%;0,59%;;;;;;Mérignac Av. Maréchal Leclerc après Coty;Nord > Sud;;
Z31CT5;418;463;7248;2,40%;2,11%;2,90%;;;;;;Bassens Côte de la Garonne;Sud > Nord;;
Z05BS;365;548;5749;-20,78%;-25,18%;-24,01%;341;-40,76%;44.0;0.4;;Bordeaux Quai  Souys (près rue Bergès);Sens Sortant;;
Z06AS;630;655;7844;-4,53%;-3,70%;-1,57%;196;-3,35%;41.9;-1.4;;Mérignac 44 av. de Mérignac;Sens Sortant;;
Z07AS;602;531;8922;-30,80%;-3,87%;-3,86%;430;2,12%;28.3;-2.0;;Mérignac face 130 bis avenue de l'Yser;Sens Sortant;;
Z09AE;508;440;6495;-2,62%;2,82%;1,42%;299;4,05%;40.9;-1.2;;Mérignac VDO;Sens Entrant;;
Z12AE;312;367;4270;-8,44%;-0,83%;-2,55%;167;-0,24%;29.1;-0.4;;Bègles 99 cours Victor Hugo;Sens Entrant;;
Z12AS;271;406;4131;-2,83%;-9,42%;-3,38%;187;-1,17%;29.3;-0.6;;Bègles 99 cours Victor Hugo;Sens Sortant;;
Z14BE;297;561;6289;2,02%;2,12%;2,82%;500;-1,93%;36.5;-0.6;;Bordeaux Bld A.Daney Latule R.Maran;Sens Entrant;;
Z14BS;352;412;6146;-9,51%;-10,22%;-4,69%;671;2,40%;50.3;0.9;;Bordeaux Bld A.Daney Latule  R.Maran;Sens Sortant;;
Z16AE;462;588;6399;-17,14%;-3,12%;-3,18%;291;-6,16%;41.4;-0.2;;Pessac 190 av. Jean Jaurès;Sens Entrant;;
